漢字,名のり_before,名のり_after,分類_before,分類_after,不適切_before,不適切_after
儒,,みつ,,#その他,1,0
諧,かのう ゆき,かのう ゆき,,#その他,1,0
緻,,おさむ,,#その他,1,0
赴,はや ゆき,はや ゆき,,#その他,1,0
添,,そえ,,#その他,1,0
郭,ひろ ひろし,ひろ ひろし,,#その他,1,0
輿,お よ,お よ,,#その他,1,0
勘,,さだ さだのり なり,,#その他,1,0
埴,,はに,,#その他,1,0
捺,とし,とし,,#その他,1,0
捧,,ささぐ,,#その他,1,0
簡,,あきら,,#その他,1,0
贈,たま ます,たま ます,,#その他,1,0
答,さと とし とみ とも のり,さと とし とみ とも のり,,#その他,1,0
営,,あきら,,#その他,1,0
復,,また,,#その他,1,0
報,,つぐ,,#その他,1,0
就,,なり なる,,#その他,1,0
塚,,つか,,#その他,1,0
猶,,なお,,#その他,1,0
鎧,が,が,,#その他,1,0
葛,かず かつ かつら かど さち ずら つた つら ふじ,かず かつ かつら かど さち ずら つた つら ふじ,,#その他,1,0
堺,,さかい,,#その他,1,0
誌,ふみ,ふみ,,#その他,1,0
警,さとし ただし,さとし ただし,,#その他,1,0
諸,つら もり,つら もり,,#その他,1,0
論,さだむ さとし さとる とき のり ゆう,さだむ さとし さとる とき のり ゆう,,#その他,1,0
憩,やす,やす,,#その他,1,0
艶,え よし,え よし,,#その他,1,0
鴨,,かも,,#その他,1,0
麓,ろ,ろ,,#その他,1,0
覧,,み みる,,#その他,1,0
議,かた さだむ のり,かた さだむ のり,,#その他,1,0
饗,,あきら,,#その他,1,0
競,きそう つよし,きそう つよし,,#その他,1,0
懸,かける,かける,,#その他,1,0
鷺,,さぎ,,#その他,1,0
鬱,しげる,しげる,,#その他,1,0
