漢字,伝統名のり,分類,補完元の伝統名のり
半,なか なからい,#幸福,（なし）
班,つら なか ひとし,#その他,（なし）
肥,うま くま とし とみ とも ふとる みつ ゆたか,#幸福 #飛躍,（なし）
被,かず けさ まつ,#その他,（なし）
尾,お,#その他,お
琵,ひ,#その他,（なし）
畢,あきら,#幸福,あきら
豹,はだら,#調和,（なし）
父,たか のり,#その他,たか、のり
赴,はや ゆき,#その他,（なし）
阜,あつ あつし たか たかし とおる ゆたか,#飛躍,
撫,やす よし,#その他,（なし）
蕪,しげ しげる,#その他,（なし）
部,きつ もと,#その他,（なし）
副,すえ すけ つぎ ます,#調和,つぎ
復,また,#その他,また
丙,あき あきら え,#その他,（なし）
蔽,さだむ,#その他,（なし）
別,のぶ わき,#その他,（なし）
片,かた,#その他,かた
編,あみ よし,#その他,（なし）
圃,その,#自然,（なし）
補,さだ すけ たすく,#その他,（なし）
慕,した したう,#信念,した、したう
戊,つちのえ,#調和,つちのえ
倣,より,#その他,（なし）
報,つぐ,#その他,つぐ
捧,ささぐ,#その他,ささぐ
鋒,さき,#その他,（なし）
謀,こと のぶ,#その他,（なし）
貌,かた すがた とお,#その他,（なし）
卜,うら,#その他,うら
牧,まき,#調和,まき
堀,ほり,#その他,ほり
幌,あき あきら,#水景 #飛躍,（なし）
毎,つね,#調和,つね
蔓,つる,#その他,つる
毛,あつ,#その他,（なし）
夜,やす,#調和,（なし）
猶,なお,#その他,なお
邑,さと さとし すみ,#調和,むら
輿,お よ,#その他,（なし）
用,ちか もち,#知性,もち
淀,よど,#その他,よど
覧,み みる,#その他,み、みる
離,あき あきら つら,#その他,（なし）
略,おさむ,#調和,おさむ
劉,のぶ みずち,#調和,（なし）
留,たね と とめ ひさ,#調和,とめ
僚,あきら,#色彩 #調和,つかさ、とも、りょう
隣,さと ただ ちか ちかし なが,#調和,（なし）
類,とも なお なし より,#その他,（なし）
冷,すずし,#調和,（なし）
零,しずく,#水景,（なし）
齢,なか よ,#その他,（なし）
憐,れ,#慈愛,（なし）
楼,ろ,#その他,たか
麓,ろ,#その他,（なし）
録,とし ふみ,#知性,（なし）
論,さだむ さとし さとる とき のり ゆう,#その他,（なし）
乘,のり,#その他,（なし）
兒,こ,#その他,こ
刹,くに,#知性,
奧,おき,#水景,おき
恆,つね ひさ,#その他,つね、ひさ
曖,あ,#その他,（なし）
鬱,しげる,#その他,（なし）
爲,なり なる,#その他,なり、なる
箋,ふみ,#その他,（なし）
